"shapeid","x","y","field_1","field_2","field_3"
"2967","77.855636413454","12.9212387353736","12.9212387353736","77.855636413454","Yattukodi"
"2968","77.8619347177004","12.913605375123","12.913605375123","77.8619347177004","Ganagaluru_Gate"
"2969","77.8680011612121","12.9043373990605","12.9043373990605","77.8680011612121","Anchemuskuru"
"2970","77.8671303671","12.8953640722","12.8953640722","77.8671303671","Chikka_Tirupathi"
"2971","77.8516213316","12.9111246485","12.9111246485","77.8516213316","Ganagaluru"
"2972","77.8579101032758","12.9439985411011","12.9439985411011","77.8579101032758","Narayankere"
"2973","77.8470603977088","12.9583257755237","12.9583257755237","77.8470603977088","Handaenahalli"
"2974","77.845151121124","12.9628722089204","12.9628722089204","77.845151121124","BN_Bache_Gowda_Badavane"
"2975","77.8158710885029","12.958933900065","12.958933900065","77.8158710885029","Anugondanahalli_Cross"
"2976","77.7845697105","13.0185687449","13.0185687449","77.7845697105","Bhaktharahalli_Gate"
"2977","77.7945775116023","13.0200206978939","13.0200206978939","77.7945775116023","Bhaktharahalli"
"2978","77.784460159","13.018382499","13.018382499","77.784460159","Bhakthara_Halli_Cross"
"2979","77.7854536953787","13.0333672664734","13.0333672664734","77.7854536953787","Dodda_Gattiganabbe"
"2980","77.8291305361518","13.0096628535905","13.0096628535905","77.8291305361518","Makanahalli"
"2981","77.8357553562913","13.0232860167641","13.0232860167641","77.8357553562913","Vaghata"
"2982","77.8657678887","13.0083308369","13.0083308369","77.8657678887","Kaji_Hosahalli"
"2983","77.8717046083837","13.0121354053765","13.0121354053765","77.8717046083837","Bommana_Bande"
"2984","77.8769076616899","13.0234248031324","13.0234248031324","77.8769076616899","Kattiganahalli"
"2985","77.8307574648831","13.0047418366013","13.0047418366013","77.8307574648831","Dodda_Dasarahalli"
"2986","77.794411825","12.9962950107","12.9962950107","77.794411825","Soukhya_Hospital"
"2987","77.7893543925449","12.9905841112144","12.9905841112144","77.7893543925449","Karnataka_State_Ware_Housing_Godown"
"2988","77.8163320534144","12.9868892873505","12.9868892873505","77.8163320534144","Biscuits_Factory"
"2989","77.8294154448882","12.9847389665167","12.9847389665167","77.8294154448882","Devalapura"
"2990","77.8297640104","12.9748244304","12.9748244304","77.8297640104","D_Hosahalli_Cross"
"2991","77.839072","12.973794","12.973794","77.839072","Devanagundi"
"2992","77.8210753398814","13.0642438993701","13.0642438993701","77.8210753398814","Devanagundi_Cross"
"2993","77.8436361482862","12.9654137232814","12.9654137232814","77.8436361482862","Medahalli_Cross"
"2994","77.8454607015611","12.9683612928148","12.9683612928148","77.8454607015611","Medahalli_Colony"
"2995","77.857730035217","12.9694968824028","12.9694968824028","77.857730035217","Somalapura_Cross"
"2996","77.8687657828659","12.983562801502","12.983562801502","77.8687657828659","Domlur_Cross"
"2997","77.8712495265892","12.9833878930033","12.9833878930033","77.8712495265892","Jn_of_Marasandra"
"2998","77.8710743475119","12.9791407238484","12.9791407238484","77.8710743475119","Lingadira_Mallasandra"
"2999","77.8441277627903","12.9964132494571","12.9964132494571","77.8441277627903","Tharabana_Halli"
"3000","77.8301494941","12.9896070901","12.9896070901","77.8301494941","LPG_Gas_company"
"3001","77.8229859006","12.9931146652","12.9931146652","77.8229859006","Kanekallu"
"3002","77.76605","12.824988","12.824988","77.76605","Handenahalli"
"3003","77.8612672258","12.9687467124","12.9687467124","77.8612672258","Somalapura"
"3004","77.8862087522","12.9276729561","12.9276729561","77.8862087522","Lakkur_Circle"
"3005","77.8828671388","12.9409431014","12.9409431014","77.8828671388","PURA"
"3006","77.8865122844122","12.927347314539","12.927347314539","77.8865122844122","Lakkauru_Circle"
"3007","77.8985915420239","12.9281502556997","12.9281502556997","77.8985915420239","Kodahalli"
"3008","77.903245","12.914896","12.914896","77.903245","Jayamangala"
"3009","77.8828344897276","12.9533965706767","12.9533965706767","77.8828344897276","BARAGUR"
"3010","77.8886211244068","12.9647437036498","12.9647437036498","77.8886211244068","HARSNAHALLI"
"3011","77.8629134245251","12.9572121363219","12.9572121363219","77.8629134245251","Banara_halli"
"3012","77.6729993301262","12.9854756863213","12.9854756863213","77.6729993301262","DARE"
"3013","77.678983","12.985884","12.985884","77.678983","DRDO_TOWNSHIP_BUS_STAND"
"3014","77.7043069679012","13.0174539487769","13.0174539487769","77.7043069679012","Tambuchettipalya_Gate"
"3015","77.7061452963548","13.0231148161944","13.0231148161944","77.7061452963548","Garden_City_College"
"3016","77.7104809124692","13.0372481607056","13.0372481607056","77.7104809124692","Kittaganur"
"3017","77.764491897","12.9975943434","12.9975943434","77.764491897","Kadugodi_Ayyappa_Temple"
"3018","77.716981899","13.0143242329","13.0143242329","77.716981899","Sigehalli"
"3019","77.70496604235","13.0209317154628","13.0209317154628","77.70496604235","Tambuchettipalya"
"3020","77.7088202747802","13.036372297676","13.036372297676","77.7088202747802","Kittaganur_Cross"
"3021","77.6916056033","13.0376396701","13.0376396701","77.6916056033","Maragondanahalli"
"3022","77.6678413153","13.0030493997","13.0030493997","77.6678413153","Vijanapura"
"3023","77.70962","13.01357","13.01357","77.70962","Gayatri_Layout"
"3024","77.68649","13.0239","13.0239","77.68649","Jinke_Thimmanahalli"
"3025","77.6661252618756","12.9752199484082","12.9752199484082","77.6661252618756","Garkemanthana_Palya"
"3026","77.6703565077071","12.9748633039143","12.9748633039143","77.6703565077071","Mallesh_Palya"
"3027","77.6778409007799","12.9728196024109","12.9728196024109","77.6778409007799","Mallesh_Palya_New_Bus_Stand"
"3028","77.6794283378712","12.9837619561458","12.9837619561458","77.6794283378712","Kaggadasapura"
"3029","77.6791144721","12.9857448768","12.9857448768","77.6791144721","DRDO_2ND_Phase"
"3030","77.6815918633554","12.9718160634868","12.9718160634868","77.6815918633554","Srirama_Reddy_layout"
"3031","77.68268","12.96688","12.96688","77.68268","Basavanagara_Bus_Stand"
"3032","77.6818310332668","12.9640751353753","12.9640751353753","77.6818310332668","Ramesh_nagara"
"3033","77.6775714149323","12.9646457762655","12.9646457762655","77.6775714149323","Vibhuthipura_Samudaya_Bhavana"
"3034","77.6656620204","12.9714645445","12.9714645445","77.6656620204","Jagadeesha_nagar"
"3035","77.663058","13.003991","13.003991","77.663058","Kasthuri_Nagara"
"3036","77.7369149094151","13.0791702416882","13.0791702416882","77.7369149094151","Premium_Farm"
"3037","77.7436374104288","13.0996178406327","13.0996178406327","77.7436374104288","Shringarapura"
"3038","77.744117639499","13.1235161936164","13.1235161936164","77.744117639499","Handrahalli"
"3039","77.7382463233909","13.1690032011662","13.1690032011662","77.7382463233909","Bhattaramarenahalli"
"3040","77.7303616842886","13.1556510570635","13.1556510570635","77.7303616842886","Jn_of_Kodenahalli_Road"
"3041","77.746299002893","13.1608930020294","13.1608930020294","77.746299002893","Kaggalahalli_"
"3042","77.7208177106535","13.0716575511981","13.0716575511981","77.7208177106535","Byappana_Halli_Satallite_Bus_Station"
"3043","77.7619578503","13.0531502981","13.0531502981","77.7619578503","Katta_Nallur_Gate"
"3044","77.7628226833782","13.0440472991452","13.0440472991452","77.7628226833782","Goravigere_gate"
"3045","77.7704769441899","13.0371477092754","13.0371477092754","77.7704769441899","Kajisonnena_halli"
"3046","77.7849762745808","13.0463608342213","13.0463608342213","77.7849762745808","SARKAR_GUTTAHALLI"
"3047","77.7856086356187","13.0334377005075","13.0334377005075","77.7856086356187","Doddagattiganabbe"
"3048","77.7935513767191","13.0359460731099","13.0359460731099","77.7935513767191","High_School_Pujena_Agrahara"
"3049","77.8071513958","13.0600516219","13.0600516219","77.8071513958","Kannurahalli"
"3050","77.78674","13.07883","13.07883","77.78674","Hoskote"
"3051","77.79329","13.09241","13.09241","77.79329","Kumbala_Halli"
"3052","77.7870428673161","13.0702164469465","13.0702164469465","77.7870428673161","Chennabyre_Gowda_Circle"
"3053","77.8153973445","13.009232562","13.009232562","77.8153973445","Kacharakanahalli_Cross"
"3054","77.803286347474","13.0772982688128","13.0772982688128","77.803286347474","Junction_Of_Malur_Road"
"3055","77.8187522055155","13.0831900846518","13.0831900846518","77.8187522055155","Hotel_Hemarold"
"3056","77.8254088732056","13.0852807547421","13.0852807547421","77.8254088732056","Kolathur_Gate"
"3057","77.8364291806059","13.0900647625633","13.0900647625633","77.8364291806059","Halasahalli_Gate"
"3058","77.8356262296","13.092818493","13.092818493","77.8356262296","Halasahalli_"
"3059","77.8114712611","13.0762137752","13.0762137752","77.8114712611","Dandu_Palya"
"3060","77.8465167766436","13.0949493835714","13.0949493835714","77.8465167766436","Jn_of_Gottipura_Road"
"3061","77.8502922971","13.1082157977","13.1082157977","77.8502922971","Gottipura"
"3062","77.8090193784931","13.0689740302859","13.0689740302859","77.8090193784931","AL_Ameena_Recidential_School"
"3063","77.8365969288174","13.0581413217832","13.0581413217832","77.8365969288174","Haralur_Cross"
"3064","77.8538390734881","13.0526205679014","13.0526205679014","77.8538390734881","Jadagenahalli"
"3065","77.8646549272225","13.0453284616838","13.0453284616838","77.8646549272225","karibiranahosahalli_Gate"
"3066","77.8615359270346","13.0387018725804","13.0387018725804","77.8615359270346","karibiranahosahalli"
"3067","77.8617201839","13.0167906918","13.0167906918","77.8617201839","Kamarasanahalli"
"3068","77.7709898842408","13.0426575133094","13.0426575133094","77.7709898842408","Goruvugere_Gate"
"3069","77.7701846647611","13.0346729973539","13.0346729973539","77.7701846647611","Khazi_Sonnehalli"
"3070","77.8017482534","13.0778060015","13.0778060015","77.8017482534","Jn_of_Malur_Road"
"3071","77.8074272645773","13.0879055123018","13.0879055123018","77.8074272645773","Sonnadevanahalli_Cross"
"3072","77.8216447110686","13.1019676906687","13.1019676906687","77.8216447110686","Doddahulluru"
"3073","77.8248970698459","13.105149051209","13.105149051209","77.8248970698459","CHIKKAHULLUR"
"3074","77.8352408913194","13.1152761066705","13.1152761066705","77.8352408913194","PILLAGUMBA"
"3075","77.8475403051041","13.1272823396482","13.1272823396482","77.8475403051041","MALLIMAKANAPURA"
"3076","77.8561099762626","13.1353217300445","13.1353217300445","77.8561099762626","BIMAKANAHALLI"
"3077","77.8685244925033","13.1509070521724","13.1509070521724","77.8685244925033","D_SHETTIHALLI"
"3078","77.8844145800204","13.1768379152542","13.1768379152542","77.8844145800204","Chokkasandra_GATE"
"3079","77.9013880504995","13.2025320209864","13.2025320209864","77.9013880504995","Nandagudi"
"3080","77.922955","13.193708","13.193708","77.922955","Muddanahalli_Gate"
